person_id,runtime_cohort,leg_mode,planned_origin_type,planned_destination_type,planned_departure_time,route_distance,realized_departure_time,elapsed_to_48h_seconds,last_event_before_stuck,last_event_time,last_link_id,last_car_movement,last_car_movement_time,last_car_movement_link,pt_reached_stop,pt_boarded,pt_left_vehicle,pt_on_vehicle_at_cutoff,waiting_stop,destination_stop,transit_vehicle,transit_line,transit_route,already_stuck_at_43h,root_cause
"6296081",regional_background,pt,"other","home",68760.000,2430.862,79702.000,93098.000,waitingForPt,79702.000,"102338",<none>,,"",true,true,true,false,"102338","168397","tr_2026","XXX---162443_106","XXX---162443_106_21",true,PT_BOARDED_NOT_ARRIVED
"6299381",regional_background,pt,"other","home",57516.000,5786.145,61511.000,111289.000,waitingForPt,61511.000,"139339",<none>,,"",true,false,false,false,"139339","134453.1","","","",true,PT_NEVER_BOARDED
"632203",regional_background,pt,"education","home",63420.000,2845.882,65769.000,107031.000,waitingForPt,65769.000,"13873",<none>,,"",true,true,true,false,"13873","14078.1","tr_29171","XXX---2268708_3","XXX---2268708_3_17",true,PT_BOARDED_NOT_ARRIVED
"6335073",regional_background,pt,"other","home",61192.000,14098.544,69051.000,103749.000,waitingForPt,69051.000,"169007",<none>,,"",true,false,false,false,"169007","4303","","","",true,PT_NEVER_BOARDED
"6337810",regional_background,pt,"other","home",57100.000,1542.436,62409.000,110391.000,waitingForPt,62409.000,"139674.2",<none>,,"",true,false,false,false,"139674.2","102083.2","","","",true,PT_NEVER_BOARDED
"6343552",regional_background,pt,"other","home",58860.000,7998.087,67768.000,105032.000,waitingForPt,67768.000,"101743.1",<none>,,"",true,true,true,false,"101743.1","136773","tr_837","XXX---162007_2_1158070147","XXX---162007_2_1158070147_2",true,PT_BOARDED_NOT_ARRIVED
"6344624",regional_background,pt,"other","home",55409.000,2253.199,58353.000,114447.000,waitingForPt,58353.000,"105110.6",<none>,,"",true,false,false,false,"105110.6","102366.1","","","",true,PT_NEVER_BOARDED
"6346548",regional_background,walk,"other","home",76005.000,49208.202,126560.000,46240.000,departure,126560.000,"194434",<none>,,"",false,false,false,false,"","","","","",true,PT_NEVER_BOARDED
"6347942",regional_background,pt,"other","home",58753.000,7998.087,70321.000,102479.000,waitingForPt,70321.000,"101743.1",<none>,,"",true,true,true,false,"101743.1","136773","tr_17844","XXX---2255115_3","XXX---2255115_3_6",true,PT_BOARDED_NOT_ARRIVED
"6348221",regional_background,car,"shopping","home",56908.000,23225.722,145203.000,27597.000,entered link,145441.000,"419626",entered link,145441.000,"419626",false,false,false,false,"","","","","",true,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER
